id,start_date,end_date,name_text,nationwide,canton
626c5358-5306-43d3-ac39-e8fd393fbe46,2022-01-01,2022-01-01,Neujahrstag,TRUE,
308addc4-aae2-4d82-895e-3669a9f5c0bb,2022-01-02,2022-01-02,Berchtoldstag,FALSE,"SO, SG, JU, AG, GL, VS, LU, ZG, NE, BE, NW, TG, ZH, SH, FR, OW, VD"
4272d0ba-d2eb-43fd-8688-33e3e2e4d73a,2022-01-06,2022-01-06,Dreikönigstag,FALSE,"TI, UR, GR, SZ"
83ffa500-cc29-40a5-98cd-e863fe823042,2022-03-19,2022-03-19,Josephstag,FALSE,"TI, UR, VS, LU, ZG, NW, GR, SZ"
9ae4137e-b464-4678-a049-cc98242fe186,2022-04-07,2022-04-07,Näfelser Fahrt,FALSE,GL
23b3126c-f886-4360-9558-e31afdc37840,2022-04-15,2022-04-15,Karfreitag,FALSE,"BS, UR, SO, SG, GE, JU, AG, GL, LU, ZG, NE, BE, NW, TG, GR, ZH, AI, SH, FR, AR, OW, BL, VD, SZ"
9fe59c66-4196-4f64-bcc4-860f3aeebfd5,2022-04-18,2022-04-18,Ostermontag,FALSE,"TI, BS, UR, SO, SG, GE, JU, AG, GL, LU, ZG, NE, BE, NW, TG, GR, ZH, AI, SH, FR, AR, OW, BL, VD, SZ"
3ed91ee5-f5f8-4fbb-8f9a-04b6c514f874,2022-04-25,2022-04-25,Sechseläuten,FALSE,ZH
ef678a21-4d7b-4b02-95a1-6a8d1a4f1e19,2022-05-01,2022-05-01,Tag der Arbeit,FALSE,"TI, BS, SO, JU, AG, NE, TG, ZH, SH, FR, BL"
ef5a54c4-e3e6-4e96-a663-a948a91086e3,2022-05-26,2022-05-26,Auffahrt,TRUE,
6408d06c-0764-4ca9-8e76-b07045fc6b93,2022-06-06,2022-06-06,Pfingstmontag,FALSE,"TI, BS, UR, SO, SG, GE, JU, AG, GL, LU, ZG, NE, BE, NW, TG, GR, ZH, AI, SH, FR, AR, OW, BL, VD, SZ"
83a5929e-dc51-42e4-9add-bf4987042443,2022-06-16,2022-06-16,Fronleichnam,FALSE,"TI, UR, SO, JU, AG, VS, LU, ZG, NE, NW, GR, AI, FR, OW, BL, SZ"
89bc0589-3fe1-4f14-901f-de205bb51474,2022-06-29,2022-06-29,Peter und Paul,FALSE,"TI, LU, GR"
3512874d-06be-46d6-a196-4923047b2592,2022-08-01,2022-08-01,Bundesfeiertag,TRUE,
df243c17-b4e7-431f-8c6f-96ae4e81e1ac,2022-08-15,2022-08-15,Mariä Himmelfahrt,FALSE,"TI, UR, SO, JU, AG, VS, LU, ZG, NW, GR, AI, FR, OW, BL, SZ"
7bc8e35f-63b0-4db3-aad4-8e316cf2d5e8,2022-09-08,2022-09-08,Genfer Bettag,FALSE,GE
fa8dc34a-e4eb-453c-a36a-f0f153fec446,2022-09-12,2022-09-12,Knabenschiessen,FALSE,ZH
bf98f380-7d8e-445e-9202-0ce543e9a07c,2022-09-18,2022-09-18,"Eidgenössischer Dank-, Buss- und Bettag",FALSE,"TI, BS, UR, SO, SG, JU, AG, GL, VS, LU, ZG, NE, BE, NW, TG, GR, ZH, AI, SH, FR, AR, OW, BL, VD, SZ"
f69c7579-5bfd-44c7-96ae-f722c150efc1,2022-09-22,2022-09-22,Mauritiustag,FALSE,AI
459c88c3-a115-486a-bbcb-953bf3317c0e,2022-09-25,2022-09-25,Bruder-Klausen-Fest,FALSE,OW
a6fd23b4-3b12-4fb1-967c-15d8c5dd1078,2022-11-01,2022-11-01,Allerheiligen,FALSE,"TI, UR, SO, SG, JU, AG, GL, VS, LU, ZG, NW, GR, AI, FR, OW, SZ"
4bb2d039-fa82-478d-afe9-a479987dd4c9,2022-12-08,2022-12-08,Mariä Empfängnis,FALSE,"TI, UR, SO, AG, VS, LU, ZG, NW, GR, AI, FR, OW, SZ"
869b6fae-4dcd-43ca-9f99-dd1f63f81271,2022-12-25,2022-12-25,Weihnachten,TRUE,
509e4bbd-7a28-4247-8851-027af48b43ae,2022-12-26,2022-12-26,Stephanstag,FALSE,"TI, BS, UR, SO, SG, AG, GL, LU, ZG, BE, NW, TG, GR, ZH, AI, SH, FR, AR, OW, BL, SZ"
