offizieller_gemeindename,kanton,bfs_nr
Aadorf,Kanton Thurgau TG,4551
Aarau,Kanton Aargau AG,4001
Aarberg,Kanton Bern BE,301
Aarburg,Kanton Aargau AG,4271
Aarwangen,Kanton Bern BE,321
Abtwil,Kanton Aargau AG,4221
Aclens,Kanton Waadt VD,5621
Acquarossa,Kanton Tessin TI,5048
Adelboden,Kanton Bern BE,561
Adligenswil,Kanton Luzern LU,1051
Adliswil,Kanton Zürich ZH,131
Aedermannsdorf,Kanton Solothurn SO,2421
Aefligen,Kanton Bern BE,401
Aegerten,Kanton Bern BE,731
Aesch (BL),Kanton Basel-Landschaft BL,2761
Aesch (LU),Kanton Luzern LU,1021
Aesch (ZH),Kanton Zürich ZH,241
Aeschi (SO),Kanton Solothurn SO,2511
Aeschi bei Spiez,Kanton Bern BE,562
Aeugst am Albis,Kanton Zürich ZH,1
Affeltrangen,Kanton Thurgau TG,4711
Affoltern am Albis,Kanton Zürich ZH,2
Affoltern im Emmental,Kanton Bern BE,951
Agarn,Kanton Wallis VS,6101
Agiez,Kanton Waadt VD,5742
Agno,Kanton Tessin TI,5141
Aigle,Kanton Waadt VD,5401
Aire-la-Ville,Kanton Genf GE,6601
Airolo,Kanton Tessin TI,5061
Alberswil,Kanton Luzern LU,1121
Albinen,Kanton Wallis VS,6102
Albula/Alvra,Kanton Graubünden GR,3542
Alchenstorf,Kanton Bern BE,402
Allaman,Kanton Waadt VD,5851
Alle,Kanton Jura JU,6771
Allmendingen,Kanton Bern BE,630
Allschwil,Kanton Basel-Landschaft BL,2762
Alpnach,Kanton Obwalden OW,1401
Alpthal,Kanton Schwyz SZ,1361
Altbüron,Kanton Luzern LU,1122
Altdorf (UR),Kanton Uri UR,1201
Altendorf,Kanton Schwyz SZ,1341
Altikon,Kanton Zürich ZH,211
Altishofen,Kanton Luzern LU,1123
Altnau,Kanton Thurgau TG,4641
Alto Malcantone,Kanton Tessin TI,5237
Altstätten,Kanton St. Gallen SG,3251
Amden,Kanton St. Gallen SG,3311
Amlikon-Bissegg,Kanton Thurgau TG,4881
Ammerswil,Kanton Aargau AG,4191
Amriswil,Kanton Thurgau TG,4461
Amsoldingen,Kanton Bern BE,921
Andeer,Kanton Graubünden GR,3701
Andelfingen,Kanton Zürich ZH,30
Andermatt,Kanton Uri UR,1202
Andwil (SG),Kanton St. Gallen SG,3441
Anières,Kanton Genf GE,6602
Anniviers,Kanton Wallis VS,6252
Anwil,Kanton Basel-Landschaft BL,2841
Appenzell,Kanton Appenzell Innerrhoden AI,3101
Aranno,Kanton Tessin TI,5143
Arbaz,Kanton Wallis VS,6261
Arbedo-Castione,Kanton Tessin TI,5001
Arboldswil,Kanton Basel-Landschaft BL,2881
Arbon,Kanton Thurgau TG,4401
Arch,Kanton Bern BE,381
Ardon,Kanton Wallis VS,6021
Arisdorf,Kanton Basel-Landschaft BL,2821
Aristau,Kanton Aargau AG,4222
Arlesheim,Kanton Basel-Landschaft BL,2763
Arnex-sur-Nyon,Kanton Waadt VD,5701
Arnex-sur-Orbe,Kanton Waadt VD,5743
Arni (AG),Kanton Aargau AG,4061
Arni (BE),Kanton Bern BE,602
Arogno,Kanton Tessin TI,5144
Arosa,Kanton Graubünden GR,3921
Arth,Kanton Schwyz SZ,1362
Arzier-Le Muids,Kanton Waadt VD,5702
Ascona,Kanton Tessin TI,5091
Assens,Kanton Waadt VD,5511
Astano,Kanton Tessin TI,5146
Attalens,Kanton Freiburg FR,2321
Attinghausen,Kanton Uri UR,1203
Attiswil,Kanton Bern BE,971
Au (SG),Kanton St. Gallen SG,3231
Aubonne,Kanton Waadt VD,5422
Auboranges,Kanton Freiburg FR,2061
Auenstein,Kanton Aargau AG,4091
Augst,Kanton Basel-Landschaft BL,2822
Ausserberg,Kanton Wallis VS,6191
Auswil,Kanton Bern BE,322
Autigny,Kanton Freiburg FR,2173
Auw,Kanton Aargau AG,4223
Avegno Gordevio,Kanton Tessin TI,5324
Avenches,Kanton Waadt VD,5451
Avers,Kanton Graubünden GR,3681
Avry,Kanton Freiburg FR,2174
Avully,Kanton Genf GE,6603
Avusy,Kanton Genf GE,6604
Ayent,Kanton Wallis VS,6082
Baar,Kanton Zug ZG,1701
Bachenbülach,Kanton Zürich ZH,51
Bachs,Kanton Zürich ZH,81
Bad Ragaz,Kanton St. Gallen SG,3291
Baden,Kanton Aargau AG,4021
Balerna,Kanton Tessin TI,5242
Balgach,Kanton St. Gallen SG,3232
Ballaigues,Kanton Waadt VD,5744
Ballens,Kanton Waadt VD,5423
Ballwil,Kanton Luzern LU,1023
Balm bei Günsberg,Kanton Solothurn SO,2541
Balsthal,Kanton Solothurn SO,2422
Baltschieder,Kanton Wallis VS,6281
Bannwil,Kanton Bern BE,323
Bardonnex,Kanton Genf GE,6605
