"region","waste_type","col_date"
"Aarau","Karton","2024-01-03"
"Aarau","Karton","2024-01-10"
"Aarau","Karton","2024-01-17"
"Aarau","Karton","2024-01-24"
"Aarau","Karton","2024-01-31"
"Aarau","Karton","2024-02-07"
"Aarau","Karton","2024-02-14"
"Aarau","Karton","2024-02-21"
"Aarau","Karton","2024-02-28"
"Aarau","Karton","2024-03-06"
"Aarau","Karton","2024-03-13"
"Aarau","Karton","2024-03-20"
"Aarau","Karton","2024-03-27"
"Aarau","Karton","2024-04-03"
"Aarau","Karton","2024-04-10"
"Aarau","Karton","2024-04-17"
"Aarau","Karton","2024-04-24"
"Aarau","Karton","2024-05-01"
"Aarau","Karton","2024-05-08"
"Aarau","Karton","2024-05-15"
"Aarau","Karton","2024-05-22"
"Aarau","Karton","2024-05-29"
"Aarau","Karton","2024-06-05"
"Aarau","Karton","2024-06-12"
"Aarau","Karton","2024-06-19"
"Aarau","Karton","2024-06-26"
"Aarau","Karton","2024-07-03"
"Aarau","Karton","2024-07-10"
"Aarau","Karton","2024-07-17"
"Aarau","Karton","2024-07-24"
"Aarau","Karton","2024-07-31"
"Aarau","Karton","2024-08-07"
"Aarau","Karton","2024-08-14"
"Aarau","Karton","2024-08-21"
"Aarau","Karton","2024-08-28"
"Aarau","Karton","2024-09-04"
"Aarau","Karton","2024-09-11"
"Aarau","Karton","2024-09-18"
"Aarau","Karton","2024-09-25"
"Aarau","Karton","2024-10-02"
"Aarau","Karton","2024-10-09"
"Aarau","Karton","2024-10-16"
"Aarau","Karton","2024-10-23"
"Aarau","Karton","2024-10-30"
"Aarau","Karton","2024-11-06"
"Aarau","Karton","2024-11-13"
"Aarau","Karton","2024-11-20"
"Aarau","Karton","2024-11-27"
"Aarau","Karton","2024-12-04"
"Aarau","Karton","2024-12-11"
"Aarau","Karton","2024-12-18"
"Aarau","Karton","2024-12-25"
"Aarau","Karton","2024-01-01"
"Aarau","Karton","2024-01-08"
"Aarau","Karton","2024-01-15"
"Aarau","Karton","2024-01-22"
"Aarau","Karton","2024-01-29"
"Aarau","Karton","2024-02-05"
"Aarau","Karton","2024-02-12"
"Aarau","Karton","2024-02-19"
"Aarau","Karton","2024-02-26"
"Aarau","Karton","2024-03-04"
"Aarau","Karton","2024-03-11"
"Aarau","Karton","2024-03-18"
"Aarau","Karton","2024-03-25"
"Aarau","Karton","2024-04-01"
"Aarau","Karton","2024-04-08"
"Aarau","Karton","2024-04-15"
"Aarau","Karton","2024-04-22"
"Aarau","Karton","2024-04-29"
"Aarau","Karton","2024-05-06"
"Aarau","Karton","2024-05-13"
"Aarau","Karton","2024-05-20"
"Aarau","Karton","2024-05-27"
"Aarau","Karton","2024-06-03"
"Aarau","Karton","2024-06-10"
"Aarau","Karton","2024-06-17"
"Aarau","Karton","2024-06-24"
"Aarau","Karton","2024-07-01"
"Aarau","Karton","2024-07-08"
"Aarau","Karton","2024-07-15"
"Aarau","Karton","2024-07-22"
"Aarau","Karton","2024-07-29"
"Aarau","Karton","2024-08-05"
"Aarau","Karton","2024-08-12"
"Aarau","Karton","2024-08-19"
"Aarau","Karton","2024-08-26"
"Aarau","Karton","2024-09-02"
"Aarau","Karton","2024-09-09"
"Aarau","Karton","2024-09-16"
"Aarau","Karton","2024-09-23"
"Aarau","Karton","2024-09-30"
"Aarau","Karton","2024-10-07"
"Aarau","Karton","2024-10-14"
"Aarau","Karton","2024-10-21"
"Aarau","Karton","2024-10-28"
"Aarau","Karton","2024-11-04"
"Aarau","Karton","2024-11-11"
"Aarau","Karton","2024-11-18"
"Aarau","Karton","2024-11-25"
"Aarau","Karton","2024-12-02"
"Aarau","Karton","2024-12-09"
"Aarau","Karton","2024-12-16"
"Aarau","Karton","2024-12-23"
"Aarau","Karton","2024-12-30"
"Aarau","Abfall","2024-01-01"
"Aarau","Abfall","2024-01-15"
"Aarau","Abfall","2024-01-29"
"Aarau","Abfall","2024-02-12"
"Aarau","Abfall","2024-02-26"
"Aarau","Abfall","2024-03-11"
"Aarau","Abfall","2024-03-25"
"Aarau","Abfall","2024-04-08"
"Aarau","Abfall","2024-04-22"
"Aarau","Abfall","2024-05-06"
"Aarau","Abfall","2024-05-20"
"Aarau","Abfall","2024-06-03"
"Aarau","Abfall","2024-06-17"
"Aarau","Abfall","2024-07-01"
"Aarau","Abfall","2024-07-15"
"Aarau","Abfall","2024-07-29"
"Aarau","Abfall","2024-08-12"
"Aarau","Abfall","2024-08-26"
"Aarau","Abfall","2024-09-09"
"Aarau","Abfall","2024-09-23"
"Aarau","Abfall","2024-10-07"
"Aarau","Abfall","2024-10-21"
"Aarau","Abfall","2024-11-04"
"Aarau","Abfall","2024-11-18"
"Aarau","Abfall","2024-12-02"
"Aarau","Abfall","2024-12-16"
"Aarau","Abfall","2024-12-30"
