"region","waste_type","col_date"
"Thalwil","Karton","2024-01-01"
"Thalwil","Karton","2024-01-08"
"Thalwil","Karton","2024-01-15"
"Thalwil","Karton","2024-01-22"
"Thalwil","Karton","2024-01-29"
"Thalwil","Karton","2024-02-05"
"Thalwil","Karton","2024-02-12"
"Thalwil","Karton","2024-02-19"
"Thalwil","Karton","2024-02-26"
"Thalwil","Karton","2024-03-04"
"Thalwil","Karton","2024-03-11"
"Thalwil","Karton","2024-03-18"
"Thalwil","Karton","2024-03-25"
"Thalwil","Karton","2024-04-01"
"Thalwil","Karton","2024-04-08"
"Thalwil","Karton","2024-04-15"
"Thalwil","Karton","2024-04-22"
"Thalwil","Karton","2024-04-29"
"Thalwil","Karton","2024-05-06"
"Thalwil","Karton","2024-05-13"
"Thalwil","Karton","2024-05-20"
"Thalwil","Karton","2024-05-27"
"Thalwil","Karton","2024-06-03"
"Thalwil","Karton","2024-06-10"
"Thalwil","Karton","2024-06-17"
"Thalwil","Karton","2024-06-24"
"Thalwil","Karton","2024-07-01"
"Thalwil","Karton","2024-07-08"
"Thalwil","Karton","2024-07-15"
"Thalwil","Karton","2024-07-22"
"Thalwil","Karton","2024-07-29"
"Thalwil","Karton","2024-08-05"
"Thalwil","Karton","2024-08-12"
"Thalwil","Karton","2024-08-19"
"Thalwil","Karton","2024-08-26"
"Thalwil","Karton","2024-09-02"
"Thalwil","Karton","2024-09-09"
"Thalwil","Karton","2024-09-16"
"Thalwil","Karton","2024-09-23"
"Thalwil","Karton","2024-09-30"
"Thalwil","Karton","2024-10-07"
"Thalwil","Karton","2024-10-14"
"Thalwil","Karton","2024-10-21"
"Thalwil","Karton","2024-10-28"
"Thalwil","Karton","2024-11-04"
"Thalwil","Karton","2024-11-11"
"Thalwil","Karton","2024-11-18"
"Thalwil","Karton","2024-11-25"
"Thalwil","Karton","2024-12-02"
"Thalwil","Karton","2024-12-09"
"Thalwil","Karton","2024-12-16"
"Thalwil","Karton","2024-12-23"
"Thalwil","Karton","2024-12-30"
"Thalwil","Abfall","2024-01-01"
"Thalwil","Abfall","2024-02-01"
"Thalwil","Abfall","2024-03-01"
"Thalwil","Abfall","2024-04-01"
"Thalwil","Abfall","2024-05-01"
"Thalwil","Abfall","2024-06-01"
"Thalwil","Abfall","2024-07-01"
"Thalwil","Abfall","2024-08-01"
"Thalwil","Abfall","2024-09-01"
"Thalwil","Abfall","2024-10-01"
"Thalwil","Abfall","2024-11-01"
"Thalwil","Abfall","2024-12-01"
"Thalwil","Abfall","2024-01-03"
"Thalwil","Abfall","2024-02-03"
"Thalwil","Abfall","2024-03-03"
"Thalwil","Abfall","2024-04-03"
"Thalwil","Abfall","2024-05-03"
"Thalwil","Abfall","2024-06-03"
"Thalwil","Abfall","2024-07-03"
"Thalwil","Abfall","2024-08-03"
"Thalwil","Abfall","2024-09-03"
"Thalwil","Abfall","2024-10-03"
"Thalwil","Abfall","2024-11-03"
"Thalwil","Abfall","2024-12-03"
